品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
夏普,KC-WB2,200,false,"",23.0,"",47.0,中国,8.0,2399.0,30,5,false,false,false,true,false
夏普,KC-WB3,255,false,"",29.0,"",47.0,中国,9.2,2638.0,"",5,false,false,false,true,false
夏普,KC-WB6,405,false,"",57.0,"",53.0,中国,11.0,2999.0,405,5,false,false,false,true,true
夏普,KC-WE20,190,false,4.5,21.0,37.0,56.0,中国,8.0,2299.0,"",3,false,false,true,true,false
夏普,KC-WE21,201,false,"",23.0,32.0,58.0,中国,8.1,3099.0,"","",true,"",true,true,true
夏普,KC-WE30,250,false,4.5,21.0,37.0,56.0,"",9.2,2599.0,"",3,false,false,true,true,false
夏普,KC-WE31,251,false,"",55.0,33.0,56.0,中国,9.2,2499.0,"",3,true,false,true,true,true
夏普,KC-WE61,401,false,"",60.0,35.0,63.0,中国,11.0,"","","",true,"",true,true,true
夏普,KC-Y180SW,178,false,4.5,25.0,22.0,49.0,中国,6.1,1348.9,"",4,false,false,false,true,false
夏普,KC-Z200SW,206,false,"",23.0,"",49.0,"",8.1,2269.0,450,3,false,false,false,true,false
夏普,KC-Z280SW,288,false,"",35.0,"",50.0,中国,9.2,1980.0,600,5,false,false,false,true,false
夏普,KC-Z380SW,370,false,"",56.0,"",54.0,中国,11.0,2999.0,760,3,"",false,false,true,true
夏普,KI-BB60,405,false,"",62.0,"",62.0,中国,13.0,4499.0,405,"",true,false,true,true,true
大金,MC120MMV2,710,false,18.0,100.0,45.0,65.0,中国,30.0,15600.0,720,3,"","","",true,true
大金,MC70KMV2,336,false,7.0,42.0,31.0,54.0,中国,8.5,2288.0,420,6,true,true,true,true,true
大金,MC71NV2C,421,false,7.0,42.0,32.0,65.0,中国,9.5,3188.0,426,5,true,true,true,true,true
大金,MCK57LMV2,270,false,11.0,37.0,60.0,55.0,中国,11.0,3288.0,342,3,true,true,true,true,true
奔腾,PW8001,198,false,"",47.0,"",60.0,"",4.75,"","",4,"","",true,"",""
奥司汀,HM200,233,false,25.0,80.0,50.0,66.0,"",10.0,5988.0,340,3,false,false,true,false,false
奥司汀,HM205,233,false,25.0,80.0,50.0,66.0,"",6.4,8588.0,340,3,false,false,true,false,false
奥司汀,HM230,233,false,28.0,106.0,"","",美国,9.5,4898.0,"",3,false,false,true,false,false
奥司汀,HM250,233,false,"",80.0,50.0,66.0,"",10.0,8988.0,340,3,false,false,true,false,false
奥司汀,HM280,233,false,28.0,106.0,"","",美国,9.5,7599.0,"",3,false,false,true,false,false
奥司汀,HM400,233,false,"",115.0,50.0,66.0,"",21.3,11688.0,680,3,false,false,true,false,false
奥司汀,HM402,233,false,35.0,115.0,"",66.0,"",21.0,18988.0,680,3,false,false,true,false,false
奥司汀,HM405,233,false,35.0,115.0,50.0,66.0,"",14.0,11988.0,680,3,false,false,true,false,false
奥司汀,HM410,233,false,35.0,115.0,"",66.0,"",21.0,12988.0,680,3,false,false,true,false,false
奥司汀,HM430,"","",38.0,82.0,"","",美国,20.0,9499.0,"",3,false,false,false,false,false
奥司汀,HM450,233,false,35.0,115.0,50.0,66.0,"",21.0,13988.0,680,3,false,false,true,false,false
奥司汀,HM480,233,false,30.0,82.0,"","",美国,20.0,11699.0,"",3,false,false,true,false,false
奥司汀,HM482,233,false,38.0,82.0,"","",美国,20.0,15899.0,"",3,false,false,true,false,false
奥得奥,ADA312,"","","",3.0,"","","","",85.0,"","",false,false,false,false,false
奥得奥,ADA388,"","","",3.0,"","","",0.55,168.0,"","",false,false,false,false,false
奥得奥,ADA603,"","","",30.0,"",26.0,"",2.9,1280.0,"","",false,false,false,true,false
奥得奥,ADA609,"","","",36.0,"","","",3.0,780.0,"",3,true,false,true,false,false
奥得奥,ADA682,"","","",120.0,"","","","",2495.0,"",3,true,true,true,false,false
奥得奥,ADA685,"","","",60.0,"","","","",1780.0,"",3,true,true,true,false,false
